date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:50:16	127584/127584	---M--	200	added ('OK')	application/x-font-ttf	etag:W/%221f260-16ae89230c0%22	https://kahvebot.com/public/font/roboto/Roboto-Thin.ttf	/storage/emulated/0/HTTrack/kahve/kahve/kahvebot.com/public/font/roboto/Roboto-Thin.ttf	(from https://kahvebot.com/public/css/mdb.min.css)
13:50:16	20940/20940	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2251cc-16ae89230c0%22	https://kahvebot.com/public/font/roboto/Roboto-Light.eot	/storage/emulated/0/HTTrack/kahve/kahve/kahvebot.com/public/font/roboto/Roboto-Light.eot	(from https://kahvebot.com/public/css/mdb.min.css)
13:50:19	20940/20940	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2251cc-16ae89230c0%22	https://kahvebot.com/public/font/roboto/Roboto-Light.eot?	/storage/emulated/0/HTTrack/kahve/kahve/kahvebot.com/public/font/roboto/Roboto-Lightd41d.eot	(from https://kahvebot.com/public/css/mdb.min.css)
13:50:19	49380/49380	---M--	200	added ('OK')	application/font-woff2	etag:W/%22c0e4-16ae89230c0%22	https://kahvebot.com/public/font/roboto/Roboto-Light.woff2	/storage/emulated/0/HTTrack/kahve/kahve/kahvebot.com/public/font/roboto/Roboto-Light.woff2	(from https://kahvebot.com/public/css/mdb.min.css)
13:50:21	62316/62316	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22f36c-16ae89230c0%22	https://kahvebot.com/public/font/roboto/Roboto-Light.woff	/storage/emulated/0/HTTrack/kahve/kahve/kahvebot.com/public/font/roboto/Roboto-Light.woff	(from https://kahvebot.com/public/css/mdb.min.css)
13:50:22	126792/126792	---M--	200	added ('OK')	application/x-font-ttf	etag:W/%221ef48-16ae89230c0%22	https://kahvebot.com/public/font/roboto/Roboto-Light.ttf	/storage/emulated/0/HTTrack/kahve/kahve/kahvebot.com/public/font/roboto/Roboto-Light.ttf	(from https://kahvebot.com/public/css/mdb.min.css)
13:50:23	21320/21320	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225348-16ae89230c0%22	https://kahvebot.com/public/font/roboto/Roboto-Regular.eot	/storage/emulated/0/HTTrack/kahve/kahve/kahvebot.com/public/font/roboto/Roboto-Regular.eot	(from https://kahvebot.com/public/css/mdb.min.css)
13:50:23	21320/21320	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225348-16ae89230c0%22	https://kahvebot.com/public/font/roboto/Roboto-Regular.eot?	/storage/emulated/0/HTTrack/kahve/kahve/kahvebot.com/public/font/roboto/Roboto-Regulard41d.eot	(from https://kahvebot.com/public/css/mdb.min.css)
13:50:26	49236/49236	---M--	200	added ('OK')	application/font-woff2	etag:W/%22c054-16ae89230c0%22	https://kahvebot.com/public/font/roboto/Roboto-Regular.woff2	/storage/emulated/0/HTTrack/kahve/kahve/kahvebot.com/public/font/roboto/Roboto-Regular.woff2	(from https://kahvebot.com/public/css/mdb.min.css)
13:50:26	61736/61736	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22f128-16ae89230c0%22	https://kahvebot.com/public/font/roboto/Roboto-Regular.woff	/storage/emulated/0/HTTrack/kahve/kahve/kahvebot.com/public/font/roboto/Roboto-Regular.woff	(from https://kahvebot.com/public/css/mdb.min.css)
